Dim;h;b;t;r1;r2
35x35x4;35;35;4;5;2.5
35x35x5;35;35;5;5;2.5
40x40x4;40;40;4;6;3
40x40x5;40;40;5;6;3
40x40x6;40;40;6;6;3
45x45x3;45;45;3;7;2.9
45x45x4;45;45;4;7;3.5
45x45x4.5;45;45;4.5;7;3.5
45x45x5;45;45;5;7;3.5
45x45x6;45;45;6;7;3.5
45x45x7;45;45;7;7;3.5
50x50x4;50;50;4;7;3.5
50x50x5;50;50;5;7;3.5
50x50x6;50;50;6;7;3.5
50x50x7;50;50;7;7;3.5
50x50x8;50;50;8;7;3.5
50x50x9;50;50;9;7;3.5
55x55x4;55;55;4;8;3.9
55x55x5;55;55;5;8;4
55x55x6;55;55;6;8;4
60x60x4;60;60;4;8;3.9
60x60x5;60;60;5;8;4
60x60x6;60;60;6;8;4
60x60x7;60;60;7;8;4
60x60x8;60;60;8;8;4
60x60x10;60;60;10;8;4
63x63x5;63;63;5;9;4.5
63x63x6;63;63;6;9;4.5
63x63x6.5;63;63;6.5;9;4.5
65x65x4;65;65;4;9;3.9
65x65x5;65;65;5;9;4.5
65x65x6;65;65;6;9;4.5
65x65x7;65;65;7;9;4.5
65x65x8;65;65;8;9;4.5
65x65x9;65;65;9;9;4.5
65x65x10;65;65;10;9;4.5
65x65x11;65;65;11;9;4.5
70x70x5;70;70;5;9;4.5
70x70x6;70;70;6;9;4.5
70x70x7;70;70;7;9;4.5
70x70x8;70;70;8;10;5
70x70x9;70;70;9;9;4.5
70x70x10;70;70;10;9;4.5
75x75x4;75;75;4;9;3.9
75x75x5;75;75;5;9;4.5
75x75x6;75;75;6;9;4.5
75x75x7;75;75;7;9;4.5
75x75x8;75;75;8;9;4.5
75x75x9;75;75;9;9;4.5
75x75x10;75;75;10;9;4.5
80x80x5;80;80;5;10;4.9
80x80x6;80;80;6;10;5
80x80x7;80;80;7;10;5
80x80x8;80;80;8;10;5
80x80x9;80;80;9;10;5
80x80x10;80;80;10;10;5
90x90x5;90;90;5;11;4.9
90x90x6;90;90;6;11;5.5
90x90x7;90;90;7;11;5.5
90x90x8;90;90;8;11;5.5
90x90x9;90;90;9;11;5.5
90x90x10;90;90;10;11;5.5
90x90x11;90;90;11;11;5.5
90x90x16;90;90;16;11;5.5
100x100x6;100;100;6;12;5.9
100x100x7;100;100;7;12;6
100x100x8;100;100;8;12;6
100x100x9;100;100;9;12;6
100x100x10;100;100;10;12;6
100x100x11;100;100;11;12;6
100x100x12;100;100;12;12;6
100x100x14;100;100;14;12;6
100x100x16;100;100;16;12;6
100x100x18;100;100;18;12;6
