Section;h;b;tf;tw;r1;r2;alpha
IPN 80;80;42;5.9;3.9;3.9;2.3;7.97
IPN 100;100;50;6.8;4.5;4.5;2.7;7.97
IPN 120;120;58;7.7;5.1;5.1;3.1;7.97
IPN 140;140;66;8.6;5.7;5.7;3.4;7.97
IPN 160;160;74;9.5;6.3;6.3;3.8;7.97
IPN 180;180;82;10.4;6.9;6.9;4.1;7.97
IPN 200;200;90;11.3;7.5;7.5;4.5;7.97
IPN 220;220;98;12.2;8.1;8.1;4.9;7.97
IPN 240;240;106;13.1;8.7;8.7;5.2;7.97
IPN 260;260;113;14.1;9.4;9.4;5.6;7.97
IPN 280;280;119;15.2;10.1;10.1;6.1;7.97
IPN 300;300;125;16.2;10.8;10.8;6.5;7.97
IPN 320;320;131;17.3;11.5;11.5;6.9;7.97
IPN 340;340;137;18.3;12.2;12.2;7.3;7.97
IPN 360;360;143;19.5;13;13;7.8;7.97
IPN 380;380;149;20.5;13.7;13.7;8.2;7.97
IPN 400;400;155;21.6;14.4;14.4;8.6;7.97
IPN 450;450;170;24.3;16.2;16.2;9.7;7.97
IPN 500;500;185;27;18;18;10.8;7.97
IPN 550;550;200;30;19;19;11.9;7.97
IPN 600;600;215;32.4;21.6;21.6;13;7.97
