Section;h;b;tf;tw;r1;r2;pente
UPN 50;50;38;7;5;7;3.5;4.574
UPN 65;65;42;7.5;5.5;7.5;4;4.574
UPN 80;80;45;8;6;8;4;4.574
UPN 100;100;50;8.5;6;8.5;4.5;4.574
UPN 120;120;55;9;7;9;4.5;4.574
UPN 140;140;60;10;7;10;5;4.574
UPN 160;160;65;10.5;7.5;10.5;5.5;4.574
UPN 180;180;70;11;8;11;5.5;4.574
UPN 200;200;75;11.5;8.5;11.5;6;4.574
UPN 220;220;80;12.5;9;12.5;6.5;4.574
UPN 240;240;85;13;9.5;13;6.5;4.574
UPN 260;260;90;14;10;14;7;4.574
UPN 280;280;95;15;10;15;7.5;4.574
UPN 300;300;100;16;10;16;8;4.574
UPN 320;320;100;17.5;14;17.5;8.8;2.862
UPN 350;350;100;16;14;16;8;2.862
UPN 380;380;102;16;13.5;16;8;2.862
UPN 400;400;110;18;14;18;9;2.862
